Generated Airfoil
0.418645 0.048080
0.416712 0.048227
0.414773 0.048357
0.412789 0.048489
0.410883 0.048631
0.408885 0.048765
0.406960 0.048884
0.405002 0.049019
0.403036 0.049151
0.401102 0.049269
0.399148 0.049392
0.397187 0.049513
0.395179 0.049623
0.393230 0.049746
0.391318 0.049874
0.389363 0.049971
0.387398 0.050104
0.385396 0.050212
0.383496 0.050305
0.381502 0.050429
0.379532 0.050534
0.377563 0.050665
0.375630 0.050751
0.373650 0.050860
0.371736 0.050954
0.369783 0.051048
0.367827 0.051153
0.365842 0.051284
0.363889 0.051360
0.361935 0.051488
0.359981 0.051580
0.358055 0.051689
0.356109 0.051791
0.354148 0.051906
0.352151 0.051996
0.350203 0.052095
0.348287 0.052179
0.346328 0.052257
0.344350 0.052333
0.342407 0.052425
0.340421 0.052537
0.338507 0.052589
0.336543 0.052712
0.334570 0.052799
0.332631 0.052877
0.330648 0.052953
0.328725 0.053034
0.326766 0.053125
0.324811 0.053190
0.322812 0.053287
0.320860 0.053364
0.318942 0.053434
0.316976 0.053511
0.315005 0.053569
0.313050 0.053647
0.311108 0.053713
0.309141 0.053774
0.307165 0.053857
0.305239 0.053909
0.303249 0.053992
0.301337 0.054074
0.299331 0.054137
0.297404 0.054170
0.295451 0.054223
0.293506 0.054291
0.291521 0.054294
0.289569 0.054362
0.287608 0.054409
0.285682 0.054421
0.283711 0.054466
0.281778 0.054495
0.279796 0.054539
0.277864 0.054577
0.275901 0.054591
0.273935 0.054631
0.271980 0.054671
0.270011 0.054693
0.268080 0.054731
0.266104 0.054761
0.264146 0.054781
0.262168 0.054809
0.260259 0.054828
0.258266 0.054842
0.256319 0.054853
0.254357 0.054860
0.252392 0.054886
0.250469 0.054884
0.248511 0.054888
0.246549 0.054915
0.244588 0.054904
0.242632 0.054899
0.240664 0.054884
0.238711 0.054901
0.236776 0.054911
0.234784 0.054881
0.232831 0.054875
0.230894 0.054868
0.228932 0.054849
0.226992 0.054835
0.225017 0.054806
0.223068 0.054794
0.221102 0.054781
0.219164 0.054754
0.217188 0.054726
0.215240 0.054686
0.213277 0.054647
0.211309 0.054648
0.209384 0.054604
0.207395 0.054559
0.205455 0.054530
0.203493 0.054491
0.201543 0.054432
0.199581 0.054398
0.197628 0.054334
0.195655 0.054249
0.193724 0.054189
0.191774 0.054101
0.189796 0.054020
0.187859 0.053954
0.185904 0.053866
0.183932 0.053788
0.181977 0.053709
0.180035 0.053612
0.178062 0.053507
0.176099 0.053404
0.174158 0.053303
0.172198 0.053209
0.170228 0.053109
0.168289 0.053011
0.166334 0.052894
0.164348 0.052766
0.162423 0.052646
0.160474 0.052523
0.158502 0.052411
0.156547 0.052279
0.154588 0.052155
0.152632 0.052005
0.150660 0.051840
0.148729 0.051717
0.146757 0.051551
0.144814 0.051370
0.142850 0.051206
0.140895 0.051015
0.138943 0.050835
0.136984 0.050627
0.135007 0.050453
0.133067 0.050240
0.131097 0.050039
0.129148 0.049849
0.127199 0.049656
0.125213 0.049443
0.123288 0.049233
0.121317 0.048994
0.119362 0.048774
0.117411 0.048523
0.115459 0.048284
0.113495 0.048052
0.111542 0.047814
0.109591 0.047540
0.107628 0.047286
0.105673 0.047016
0.103713 0.046760
0.101757 0.046478
0.099798 0.046190
0.097849 0.045879
0.095892 0.045562
0.093928 0.045232
0.091977 0.044867
0.090013 0.044521
0.088054 0.044173
0.086105 0.043839
0.084140 0.043465
0.082191 0.043085
0.080239 0.042701
0.078279 0.042294
0.076321 0.041899
0.074357 0.041473
0.072404 0.041040
0.070443 0.040579
0.068488 0.040134
0.066535 0.039662
0.064575 0.039174
0.062619 0.038654
0.060668 0.038153
0.058716 0.037619
0.056756 0.037097
0.054798 0.036533
0.052839 0.035989
0.050880 0.035408
0.048924 0.034792
0.046970 0.034123
0.045006 0.033450
0.043048 0.032783
0.041089 0.032083
0.039143 0.031342
0.037177 0.030579
0.035222 0.029810
0.033266 0.028992
0.031302 0.028169
0.029347 0.027329
0.027395 0.026445
0.025444 0.025534
0.023483 0.024514
0.021521 0.023423
0.019574 0.022305
0.017608 0.021124
0.015656 0.019881
0.013703 0.018560
0.011746 0.017131
0.009774 0.015463
0.007827 0.013585
0.005874 0.011534
0.003913 0.009155
0.001959 0.006036
-0.000004 0.000000
0.001958 -0.005778
0.003907 -0.008358
0.005870 -0.010231
0.007829 -0.011766
0.009789 -0.013205
0.011739 -0.014474
0.013702 -0.015538
0.015654 -0.016516
0.017612 -0.017416
0.019572 -0.018298
0.021531 -0.019123
0.023488 -0.019893
0.025443 -0.020632
0.027401 -0.021301
0.029357 -0.021949
0.031314 -0.022564
0.033272 -0.023149
0.035222 -0.023728
0.037177 -0.024278
0.039139 -0.024833
0.041087 -0.025367
0.043048 -0.025870
0.045003 -0.026363
0.046965 -0.026840
0.048924 -0.027317
0.050876 -0.027753
0.052837 -0.028178
0.054794 -0.028595
0.056746 -0.028986
0.058706 -0.029396
0.060657 -0.029780
0.062618 -0.030131
0.064568 -0.030507
0.066528 -0.030877
0.068486 -0.031226
0.070440 -0.031569
0.072406 -0.031921
0.074361 -0.032250
0.076326 -0.032577
0.078269 -0.032880
0.080235 -0.033192
0.082193 -0.033488
0.084154 -0.033783
0.086101 -0.034067
0.088069 -0.034352
0.090012 -0.034622
0.091964 -0.034909
0.093926 -0.035170
0.095887 -0.035441
0.097838 -0.035692
0.099798 -0.035948
0.101751 -0.036174
0.103708 -0.036423
0.105671 -0.036643
0.107624 -0.036862
0.109585 -0.037072
0.111534 -0.037290
0.113505 -0.037498
0.115456 -0.037705
0.117412 -0.037893
0.119366 -0.038100
0.121332 -0.038273
0.123271 -0.038484
0.125240 -0.038668
0.127197 -0.038847
0.129147 -0.039020
0.131116 -0.039209
0.133065 -0.039373
0.135012 -0.039545
0.136984 -0.039706
0.138935 -0.039877
0.140880 -0.040029
0.142853 -0.040178
0.144808 -0.040340
0.146768 -0.040482
0.148711 -0.040625
0.150669 -0.040775
0.152621 -0.040889
0.154579 -0.041007
0.156547 -0.041144
0.158495 -0.041267
0.160454 -0.041385
0.162422 -0.041493
0.164363 -0.041610
0.166310 -0.041716
0.168275 -0.041823
0.170249 -0.041929
0.172203 -0.042037
0.174141 -0.042142
0.176109 -0.042226
0.178075 -0.042325
0.180029 -0.042424
0.181991 -0.042512
0.183930 -0.042592
0.185893 -0.042678
0.187839 -0.042772
0.189814 -0.042850
0.191756 -0.042928
0.193724 -0.043010
0.195686 -0.043080
0.197630 -0.043161
0.199590 -0.043222
0.201549 -0.043292
0.203491 -0.043340
0.205453 -0.043399
0.207421 -0.043455
0.209360 -0.043494
0.211320 -0.043537
0.213288 -0.043593
0.215249 -0.043641
0.217175 -0.043683
0.219168 -0.043712
0.221122 -0.043758
0.223077 -0.043801
0.225029 -0.043831
0.226984 -0.043867
0.228938 -0.043896
0.230904 -0.043934
0.232833 -0.043961
0.234782 -0.043976
0.236767 -0.044000
0.238708 -0.044036
0.240693 -0.044057
0.242615 -0.044074
0.244588 -0.044085
0.246545 -0.044120
0.248486 -0.044124
0.250469 -0.044145
0.252414 -0.044147
0.254377 -0.044149
0.256337 -0.044159
0.258267 -0.044154
0.260238 -0.044170
0.262209 -0.044175
0.264151 -0.044163
0.266121 -0.044153
0.268070 -0.044164
0.270040 -0.044153
0.271992 -0.044150
0.273935 -0.044145
0.275882 -0.044141
0.277833 -0.044106
0.279777 -0.044115
0.281754 -0.044098
0.283736 -0.044089
0.285655 -0.044070
0.287610 -0.044042
0.289604 -0.044043
0.291544 -0.044006
0.293485 -0.043989
0.295453 -0.043955
0.297394 -0.043957
0.299357 -0.043937
0.301318 -0.043888
0.303262 -0.043867
0.305212 -0.043825
0.307200 -0.043798
0.309164 -0.043748
0.311086 -0.043705
0.313035 -0.043649
0.314986 -0.043647
0.316964 -0.043588
0.318898 -0.043544
0.320885 -0.043506
0.322840 -0.043465
0.324791 -0.043412
0.326769 -0.043355
0.328721 -0.043310
0.330662 -0.043270
0.332608 -0.043204
0.334556 -0.043171
0.336552 -0.043102
0.338472 -0.043045
0.340440 -0.042989
0.342375 -0.042941
0.344363 -0.042875
0.346329 -0.042824
0.348240 -0.042760
0.350215 -0.042697
0.352189 -0.042628
0.354165 -0.042576
0.356063 -0.042516
0.358014 -0.042447
0.359977 -0.042372
0.361967 -0.042303
0.363887 -0.042235
0.365832 -0.042156
0.367850 -0.042086
0.369771 -0.042005
0.371751 -0.041932
0.373688 -0.041866
0.375677 -0.041775
0.377609 -0.041711
0.379549 -0.041649
0.381528 -0.041556
0.383505 -0.041485
0.385438 -0.041411
0.387404 -0.041316
0.389344 -0.041253
0.391308 -0.041159
0.393259 -0.041078
0.395230 -0.040987
0.397150 -0.040918
0.399141 -0.040828
0.401087 -0.040733
0.403031 -0.040654
0.404952 -0.040564
0.406926 -0.040463
0.408907 -0.040369
0.410878 -0.040265
0.412840 -0.040175
0.414795 -0.040086
0.416720 -0.039988
0.418691 -0.039883
0.420614 -0.039810
0.422596 -0.039689
0.424560 -0.039609
0.426490 -0.039505
0.428443 -0.039415
0.430427 -0.039304
0.432395 -0.039198
0.434340 -0.039112
0.436309 -0.039016
0.438277 -0.038899
0.440214 -0.038786
0.442163 -0.038677
0.444115 -0.038589
0.446068 -0.038498
0.448022 -0.038376
0.450010 -0.038275
0.451899 -0.038173
0.453909 -0.038072
0.455837 -0.037941
0.457830 -0.037841
0.459755 -0.037732
0.461721 -0.037630
0.463624 -0.037513
0.465591 -0.037392
0.467592 -0.037282
0.469575 -0.037165
0.471522 -0.037054
0.473454 -0.036939
0.475439 -0.036839
0.477326 -0.036736
0.479306 -0.036611
0.481257 -0.036501
0.483253 -0.036379
0.485180 -0.036264
0.487119 -0.036153
0.489099 -0.036026
0.491062 -0.035911
0.493011 -0.035778
0.494999 -0.035682
0.496897 -0.035555
0.498911 -0.035440
0.500847 -0.035327
0.502776 -0.035203
0.504767 -0.035075
0.506702 -0.034940
0.508622 -0.034830
0.510567 -0.034700
0.512581 -0.034573
0.514545 -0.034455
0.516503 -0.034331
0.518457 -0.034211
0.520385 -0.034078
0.522285 -0.033950
0.524305 -0.033826
0.526283 -0.033698
0.528186 -0.033571
0.530205 -0.033447
0.532108 -0.033320
0.534092 -0.033191
0.536031 -0.033062
0.537940 -0.032939
0.539958 -0.032816
0.541890 -0.032675
0.543878 -0.032548
0.545772 -0.032405
0.547746 -0.032282
0.549714 -0.032150
0.551668 -0.032019
0.553656 -0.031891
0.555602 -0.031748
0.557556 -0.031613
0.559469 -0.031481
0.561471 -0.031366
0.563428 -0.031239
0.565339 -0.031085
0.567348 -0.030951
0.569229 -0.030829
0.571213 -0.030704
0.573201 -0.030549
0.575184 -0.030426
0.577082 -0.030293
0.579070 -0.030152
0.581052 -0.030020
0.582985 -0.029878
0.584925 -0.029756
0.586897 -0.029611
0.588799 -0.029492
0.590815 -0.029363
0.592699 -0.029215
0.594701 -0.029086
0.596663 -0.028948
0.598626 -0.028828
0.600554 -0.028681
0.602513 -0.028526
0.604497 -0.028406
0.606455 -0.028281
0.608358 -0.028131
0.610337 -0.028004
0.612310 -0.027852
0.614216 -0.027713
0.616228 -0.027584
0.618163 -0.027446
0.620114 -0.027321
0.622051 -0.027179
0.624025 -0.027049
0.625953 -0.026911
0.627916 -0.026776
0.629881 -0.026648
0.631869 -0.026509
0.633828 -0.026370
0.635769 -0.026234
0.637691 -0.026105
0.639680 -0.025974
0.641626 -0.025823
0.643561 -0.025692
0.645520 -0.025561
0.647487 -0.025429
0.649476 -0.025293
0.651378 -0.025170
0.653400 -0.025030
0.655328 -0.024896
0.657253 -0.024765
0.659272 -0.024617
0.661174 -0.024486
0.663122 -0.024356
0.665053 -0.024209
0.667018 -0.024086
0.669044 -0.023955
0.670984 -0.023817
0.672888 -0.023680
0.674813 -0.023563
0.676863 -0.023409
0.678789 -0.023286
0.680746 -0.023162
0.682701 -0.023026
0.684664 -0.022893
0.686653 -0.022743
0.688589 -0.022624
0.690516 -0.022482
0.692436 -0.022349
0.694439 -0.022210
0.696387 -0.022090
0.698346 -0.021951
0.700301 -0.021837
0.702249 -0.021689
0.704220 -0.021556
0.706221 -0.021420
0.708142 -0.021307
0.710021 -0.021167
0.712054 -0.021039
0.713941 -0.020907
0.715951 -0.020776
0.717921 -0.020633
0.719833 -0.020514
0.721773 -0.020393
0.723797 -0.020255
0.725692 -0.020104
0.727656 -0.019974
0.729591 -0.019865
0.731534 -0.019735
0.733557 -0.019597
0.735513 -0.019471
0.737422 -0.019347
0.739379 -0.019227
0.741359 -0.019095
0.743350 -0.018966
0.745264 -0.018830
0.747245 -0.018703
0.749213 -0.018603
0.751173 -0.018462
0.753050 -0.018327
0.755024 -0.018211
0.756987 -0.018078
0.758916 -0.017961
0.760981 -0.017827
0.762864 -0.017705
0.764868 -0.017582
0.766813 -0.017466
0.768683 -0.017324
0.770714 -0.017192
0.772646 -0.017079
0.774636 -0.016950
0.776569 -0.016836
0.778523 -0.016719
0.780468 -0.016579
0.782410 -0.016455
0.784372 -0.016333
0.786380 -0.016216
0.788289 -0.016080
0.790278 -0.015954
0.792154 -0.015827
0.794127 -0.015711
0.796123 -0.015584
0.798093 -0.015468
0.800005 -0.015335
0.801982 -0.015205
0.803962 -0.015080
0.805875 -0.014957
0.807794 -0.014839
0.809793 -0.014702
0.811798 -0.014571
0.813659 -0.014452
0.815665 -0.014334
0.817667 -0.014207
0.819516 -0.014066
0.821590 -0.013940
0.823498 -0.013820
0.825438 -0.013706
0.827415 -0.013574
0.829335 -0.013444
0.831367 -0.013311
0.833277 -0.013189
0.835226 -0.013064
0.837223 -0.012942
0.839130 -0.012813
0.841106 -0.012684
0.843012 -0.012564
0.844949 -0.012440
0.846911 -0.012300
0.848919 -0.012173
0.850878 -0.012060
0.852824 -0.011936
0.854790 -0.011805
0.856738 -0.011682
0.858679 -0.011564
0.860633 -0.011435
0.862586 -0.011314
0.864518 -0.011188
0.866466 -0.011058
0.868427 -0.010935
0.870410 -0.010797
0.872337 -0.010676
0.874357 -0.010552
0.876320 -0.010426
0.878243 -0.010292
0.880188 -0.010182
0.882171 -0.010049
0.884082 -0.009934
0.886081 -0.009807
0.888031 -0.009679
0.890000 -0.009549
0.891919 -0.009424
0.893928 -0.009304
0.895878 -0.009187
0.897810 -0.009057
0.899741 -0.008923
0.901707 -0.008798
0.903685 -0.008672
0.905684 -0.008558
0.907578 -0.008429
0.909523 -0.008294
0.911460 -0.008165
0.913514 -0.008038
0.915367 -0.007915
0.917381 -0.007780
0.919359 -0.007659
0.921288 -0.007539
0.923166 -0.007409
0.925179 -0.007270
0.927142 -0.007141
0.929102 -0.007008
0.931037 -0.006885
0.932979 -0.006747
0.934951 -0.006627
0.936911 -0.006486
0.938897 -0.006358
0.940761 -0.006228
0.942826 -0.006087
0.944772 -0.005968
0.946739 -0.005826
0.948569 -0.005698
0.950595 -0.005561
0.952553 -0.005429
0.954533 -0.005292
0.956544 -0.005142
0.958410 -0.005006
0.960398 -0.004864
0.962356 -0.004726
0.964364 -0.004588
0.966336 -0.004435
0.968215 -0.004301
0.970160 -0.004155
0.972185 -0.004013
0.974114 -0.003869
0.976081 -0.003710
0.977995 -0.003570
0.979924 -0.003421
0.981961 -0.003269
0.983818 -0.003111
0.985825 -0.002955
0.987795 -0.002802
0.989671 -0.002643
0.991725 -0.002479
0.993642 -0.002309
0.995606 -0.002148
0.997526 -0.001962
0.999461 -0.001768
